time,energy_usage
2023-09-01 00:00, 0.0
2023-09-01 00:15,-0.07899999999972351
2023-09-01 00:30,-0.07400000000052387
2023-09-01 00:45,-0.0929999999998472
2023-09-01 01:00,-0.12799999999970169
2023-09-01 01:15,-0.1459999999997308
2023-09-01 01:30,-0.14200000000073487
2023-09-01 01:45,-0.13499999999930878
2023-09-01 02:00,-0.12200000000029831
2023-09-01 02:15,-0.13799999999991996
2023-09-01 02:30,-0.12399999999979627
2023-09-01 02:45,-0.1390000000001237
2023-09-01 03:00,-0.14699999999993452
2023-09-01 03:15,-0.1459999999997308
2023-09-01 03:30,-0.12800000000061118
2023-09-01 03:45,-0.13799999999991996
2023-09-01 04:00,-0.07799999999951979
2023-09-01 04:15,-0.03800000000046566
2023-09-01 04:30,-0.047999999999774445
2023-09-01 04:45,-0.051000000000385626
2023-09-01 05:00,-0.056999999999789
2023-09-01 05:15,-0.07099999999991269
2023-09-01 05:30,-0.056999999999789
2023-09-01 05:45,-0.06300000000010186
2023-09-01 06:00,-0.056999999999789
2023-09-01 06:15,-0.03999999999996362
2023-09-01 06:30,-0.04100000000016735
2023-09-01 06:45,-0.0500000000001819
2023-09-01 07:00,-0.056999999999789
2023-09-01 07:15,-0.06199999999989814
2023-09-01 07:30,-0.06000000000130967
2023-09-01 07:45,-0.03799999999864667
2023-09-01 08:00,-0.01600000000144064
2023-09-01 08:15,0.003000000001065928
2023-09-01 08:30,-0.1320000000005166
2023-09-01 08:45,-0.06400000000030559
2023-09-01 09:00,-0.21299999999973807
2023-09-01 09:15,-0.016999999999825377
2023-09-01 09:30,0.0009999999997489795
2023-09-01 09:45,0.013999999999668944
2023-09-01 10:00,0.015000000001236913
2023-09-01 10:15,0.09200000000009823
2023-09-01 10:30,0.0500000000001819
2023-09-01 10:45,0.06300000000010186
2023-09-01 11:00,0.06499999999959982
2023-09-01 11:15,-0.45600000000013097
2023-09-01 11:30,0.08300000000008367
2023-09-01 11:45,0.11900000000014188
2023-09-01 12:00,0.25300000000015643
2023-09-01 12:15,0.22499999999990905
2023-09-01 12:30,-0.07600000000047658
2023-09-01 12:45,-0.07199999999966167
2023-09-01 13:00,0.03699999999935244
2023-09-01 13:15,0.09200000000100772
2023-09-01 13:30,0.04899999999906868
2023-09-01 13:45,0.12900000000036016
2023-09-01 14:00,0.09199999999873398
2023-09-01 14:15,0.18300000000044747
2023-09-01 14:30,0.25
2023-09-01 14:45,0.1269999999999527
2023-09-01 15:00,0.09899999999970532
2023-09-01 15:15,0.09400000000005093
2023-09-01 15:30,0.05099999999993088
2023-09-01 15:45,0.09300000000030195
2023-09-01 16:00,0.10799999999971988
2023-09-01 16:15,0.032999999999901775
2023-09-01 16:30,0.07900000000017826
2023-09-01 16:45,-0.27099999999927604
2023-09-01 17:00,-0.11999999999943611
2023-09-01 17:15,-0.39300000000048385
2023-09-01 17:30,-0.5070000000000618
2023-09-01 17:45,-0.41300000000046566
2023-09-01 18:00,-0.17900000000054206
2023-09-01 18:15,-0.23199999999860665
2023-09-01 18:30,-0.4430000000011205
2023-09-01 18:45,-0.36299999999937427
2023-09-01 19:00,-0.21000000000094587
2023-09-01 19:15,-0.08299999999871943
2023-09-01 19:30,-0.31600000000071304
2023-09-01 19:45,-0.28800000000046566
2023-09-01 20:00,-0.12899999999899592
2023-09-01 20:15,-0.1290000000008149
2023-09-01 20:30,-0.14499999999861757
2023-09-01 20:45,-0.13000000000101863
2023-09-01 21:00,-0.10800000000017462
2023-09-01 21:15,-0.07799999999951979
2023-09-01 21:30,-0.06899999999950523
2023-09-01 21:45,-0.09600000000136788
2023-09-01 22:00,-0.10999999999876309
2023-09-01 22:15,-0.12800000000061118
2023-09-01 22:30,-0.12700000000040745
2023-09-01 22:45,-0.13500000000021828
2023-09-01 23:00,-0.10099999999874854
2023-09-01 23:15,-0.11300000000028376
2023-09-01 23:30,-0.10300000000006548
2023-09-01 23:45,-0.12600000000020373
2023-09-02 00:00,-0.10999999999967258
2023-09-02 00:15,-0.09700000000066211
2023-09-02 00:30,-0.09399999999914144
2023-09-02 00:45,-0.10600000000067666
2023-09-02 01:00,-0.0749999999998181
2023-09-02 01:15,-0.08299999999962893
2023-09-02 01:30,-0.08300000000053842
2023-09-02 01:45,-0.07600000000002183
2023-09-02 02:00,-0.09599999999954889
2023-09-02 02:15,-0.10400000000026921
2023-09-02 02:30,-0.09000000000014552
2023-09-02 02:45,-0.10099999999965803
2023-09-02 03:00,-0.08399999999983265
2023-09-02 03:15,-0.07000000000061846
2023-09-02 03:30,-0.07899999999972351
2023-09-02 03:45,-0.07899999999972351
2023-09-02 04:00,-0.08800000000064756
2023-09-02 04:15,-0.09799999999995634
2023-09-02 04:30,-0.06799999999930151
2023-09-02 04:45,-0.06600000000071304
2023-09-02 05:00,-0.058999999999286956
2023-09-02 05:15,-0.0500000000001819
2023-09-02 05:30,-0.04399999999986903
2023-09-02 05:45,-0.056000000000494765
2023-09-02 06:00,-0.06599999999980355
2023-09-02 06:15,-0.06599999999980355
2023-09-02 06:30,-0.07400000000052387
2023-09-02 06:45,-0.06799999999930151
2023-09-02 07:00,-0.04800000000068394
2023-09-02 07:15,-0.125
2023-09-02 07:30,-0.11499999999978172
2023-09-02 07:45,-0.0500000000001819
2023-09-02 08:00,-0.06300000000010186
2023-09-02 08:15,-0.06899999999950523
2023-09-02 08:30,-0.0820000000003347
2023-09-02 08:45,-0.15499999999974534
2023-09-02 09:00,-0.0500000000001819
2023-09-02 09:15,-0.04699999999957072
2023-09-02 09:30,-0.02000000000066393
