time,import_energy,export_energy,gas_usage
2023-09-01 00:00,0,0,0
2023-09-01 00:15,0.07899999999972351,0.0,0.0
2023-09-01 00:30,0.07400000000052387,0.0,0.0
2023-09-01 00:45,0.0929999999998472,0.0,0.005000000000109139
2023-09-01 01:00,0.12799999999970169,0.0,0.0
2023-09-01 01:15,0.1459999999997308,0.0,0.0
2023-09-01 01:30,0.14200000000073487,0.0,0.0
2023-09-01 01:45,0.13499999999930878,0.0,0.0
2023-09-01 02:00,0.12200000000029831,0.0,0.0
2023-09-01 02:15,0.13799999999991996,0.0,0.005000000000109139
2023-09-01 02:30,0.12399999999979627,0.0,0.0
2023-09-01 02:45,0.1390000000001237,0.0,0.0
2023-09-01 03:00,0.14699999999993452,0.0,0.0
2023-09-01 03:15,0.1459999999997308,0.0,0.0
2023-09-01 03:30,0.12800000000061118,0.0,0.0039999999999054126
2023-09-01 03:45,0.13799999999991996,0.0,0.0
2023-09-01 04:00,0.07799999999951979,0.0,0.0
2023-09-01 04:15,0.03800000000046566,0.0,0.0
2023-09-01 04:30,0.047999999999774445,0.0,0.0
2023-09-01 04:45,0.051000000000385626,0.0,0.0
2023-09-01 05:00,0.056999999999789,0.0,0.005000000000109139
2023-09-01 05:15,0.07099999999991269,0.0,0.0
2023-09-01 05:30,0.056999999999789,0.0,0.0
2023-09-01 05:45,0.06300000000010186,0.0,0.0
2023-09-01 06:00,0.056999999999789,0.0,0.0
2023-09-01 06:15,0.03999999999996362,0.0,0.005000000000109139
2023-09-01 06:30,0.04100000000016735,0.0,0.0
2023-09-01 06:45,0.0500000000001819,0.0,0.0
2023-09-01 07:00,0.056999999999789,0.0,0.0
2023-09-01 07:15,0.06199999999989814,0.0,0.0
2023-09-01 07:30,0.06000000000130967,0.0,0.0
2023-09-01 07:45,0.03799999999864667,0.0,0.0039999999999054126
2023-09-01 08:00,0.017000000001644366,0.0010000000002037268,0.009999999999763531
2023-09-01 08:15,0.002999999998792191,0.005999999999858119,0.023000000000138243
2023-09-01 08:30,0.13500000000021828,0.0029999999997016857,0.0
2023-09-01 08:45,0.06400000000030559,0.0,0.0
2023-09-01 09:00,0.21299999999973807,0.0,0.0
2023-09-01 09:15,0.016999999999825377,0.0,0.0
2023-09-01 09:30,0.0020000000004074536,0.003000000000156433,0.0
2023-09-01 09:45,0.0010000000002037268,0.01499999999987267,0.0
2023-09-01 10:00,0.002999999998792191,0.018000000000029104,0.0
2023-09-01 10:15,0.0,0.09200000000009823,0.0
2023-09-01 10:30,0.0,0.0500000000001819,0.0
2023-09-01 10:45,0.0,0.06300000000010186,0.0
2023-09-01 11:00,0.0,0.06499999999959982,0.0
2023-09-01 11:15,0.4650000000001455,0.009000000000014552,0.005999999999858119
2023-09-01 11:30,0.0,0.08300000000008367,0.0
2023-09-01 11:45,0.0,0.11900000000014188,0.0
2023-09-01 12:00,0.0,0.25300000000015643,0.0
2023-09-01 12:15,0.0,0.22499999999990905,0.0
2023-09-01 12:30,0.14400000000023283,0.06799999999975626,0.005000000000109139
2023-09-01 12:45,0.1679999999996653,0.09600000000000364,0.2359999999998763
2023-09-01 13:00,0.06600000000071304,0.10300000000006548,0.012000000000170985
2023-09-01 13:15,0.013999999999214197,0.10600000000022192,0.0
2023-09-01 13:30,0.01300000000082946,0.06199999999989814,0.0010000000002037268
2023-09-01 13:45,0.03299999999944703,0.1619999999998072,0.0
2023-09-01 14:00,0.05100000000129512,0.1430000000000291,0.0
2023-09-01 14:15,0.007999999999810825,0.1910000000002583,0.0
2023-09-01 14:30,0.0,0.25,0.0
2023-09-01 14:45,0.0,0.1269999999999527,0.02999999999974534
2023-09-01 15:00,0.0,0.09899999999970532,0.008000000000265572
2023-09-01 15:15,0.0,0.09400000000005093,0.0
2023-09-01 15:30,0.0,0.05099999999993088,0.0
2023-09-01 15:45,0.0,0.09300000000030195,0.0
2023-09-01 16:00,0.0,0.10799999999971988,0.2339999999999236
2023-09-01 16:15,0.0010000000002037268,0.0340000000001055,0.0
2023-09-01 16:30,0.0,0.07900000000017826,0.0
2023-09-01 16:45,0.3169999999990978,0.04599999999982174,0.016999999999825377
2023-09-01 17:00,0.15899999999965075,0.03900000000021464,0.05099999999993088
2023-09-01 17:15,0.4030000000002474,0.009999999999763531,0.016000000000076398
2023-09-01 17:30,0.5090000000000146,0.0019999999999527063,0.0
2023-09-01 17:45,0.41300000000046566,0.0,0.1550000000002001
2023-09-01 18:00,0.19000000000050932,0.010999999999967258,0.17899999999963256
2023-09-01 18:15,0.2349999999987631,0.003000000000156433,0.07200000000011642
2023-09-01 18:30,0.4430000000011205,0.0,0.006000000000312866
2023-09-01 18:45,0.36299999999937427,0.0,0.0
2023-09-01 19:00,0.21000000000094587,0.0,0.0
2023-09-01 19:15,0.08299999999871943,0.0,0.0
2023-09-01 19:30,0.31600000000071304,0.0,0.007999999999810825
2023-09-01 19:45,0.28800000000046566,0.0,0.0019999999999527063
2023-09-01 20:00,0.12899999999899592,0.0,0.0
2023-09-01 20:15,0.1290000000008149,0.0,0.0
2023-09-01 20:30,0.14499999999861757,0.0,0.0
2023-09-01 20:45,0.13000000000101863,0.0,0.0
2023-09-01 21:00,0.10800000000017462,0.0,0.0039999999999054126
2023-09-01 21:15,0.07799999999951979,0.0,0.0
2023-09-01 21:30,0.06899999999950523,0.0,0.0
2023-09-01 21:45,0.09600000000136788,0.0,0.13200000000006185
2023-09-01 22:00,0.10999999999876309,0.0,0.08699999999998909
2023-09-01 22:15,0.12800000000061118,0.0,0.014000000000123691
