time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-01 23:00,6635.331,8975.221,999.657,2278.520
2023-09-01 23:15,6635.441,8975.224,999.657,2278.520
2023-09-01 23:30,6635.544,8975.224,999.657,2278.520
2023-09-01 23:45,6635.670,8975.224,999.657,2278.520
2023-09-02 00:00,6635.780,8975.224,999.657,2278.520
2023-09-02 00:15,6635.877,8975.224,999.657,2278.520
2023-09-02 00:30,6635.971,8975.224,999.657,2278.520
2023-09-02 00:45,6636.077,8975.224,999.657,2278.520
2023-09-02 01:00,6636.152,8975.224,999.657,2278.520
2023-09-02 01:15,6636.235,8975.224,999.657,2278.520
2023-09-02 01:30,6636.318,8975.224,999.657,2278.520
2023-09-02 01:45,6636.394,8975.224,999.657,2278.520
2023-09-02 02:00,6636.490,8975.224,999.657,2278.520
2023-09-02 02:15,6636.594,8975.224,999.657,2278.520
2023-09-02 02:30,6636.684,8975.224,999.657,2278.520
2023-09-02 02:45,6636.785,8975.224,999.657,2278.520
2023-09-02 03:00,6636.869,8975.224,999.657,2278.520
2023-09-02 03:15,6636.939,8975.224,999.657,2278.520
2023-09-02 03:30,6637.018,8975.224,999.657,2278.520
2023-09-02 03:45,6637.097,8975.224,999.657,2278.520
2023-09-02 04:00,6637.185,8975.224,999.657,2278.520
2023-09-02 04:15,6637.283,8975.224,999.657,2278.520
2023-09-02 04:30,6637.351,8975.224,999.657,2278.520
2023-09-02 04:45,6637.417,8975.224,999.657,2278.520
2023-09-02 05:00,6637.476,8975.224,999.657,2278.520
2023-09-02 05:15,6637.526,8975.224,999.657,2278.520
2023-09-02 05:30,6637.570,8975.224,999.657,2278.520
2023-09-02 05:45,6637.626,8975.224,999.657,2278.520
2023-09-02 06:00,6637.692,8975.224,999.657,2278.520
2023-09-02 06:15,6637.758,8975.224,999.657,2278.520
2023-09-02 06:30,6637.832,8975.224,999.657,2278.520
2023-09-02 06:45,6637.900,8975.224,999.657,2278.520
2023-09-02 07:00,6637.948,8975.224,999.657,2278.520
2023-09-02 07:15,6638.073,8975.224,999.657,2278.520
